id,colour,size
PN7814,"Black,","One Size,"
PN7815,"Black,","Small/Medium,Large/XLarge,"
PN7816,"Black,","Small/Medium,Large/XLarge,"
PN7817,"Black,","Small,Medium,Large,"
PN7818,"Oatmeal,","Small,Medium,Large,XLarge,"
PN7819,"Oatmeal,","Small,Medium,Large,XLarge,"
PN8690,"Alpine Orange,","3 Person,"
PN79138,,
PN39178,"Blue,","20cm,"
PN39179,"Blue,","Wide Lip,"
PN39180,"Blue,","24cm,"
PN39181,"Blue,","275ml,550ml,"
PN20549,,
PN20559,,
PN20560,,
PN20561,,
PN553,,
PN31271,,
PN31272,,
PN39261,,
PN19167,,
PN19168,,
PN19356,,
PN20404,"Blue,","50cm,55cm,60cm,65cm,70cm,"
PN20407,"Black,","53cm,"
PN211,,
PN212,,
PN31447,"Black,","Cramp O Matic,New Classic,New Matic,New Classic Wide,"
PN31448,,
PN31449,"Black,","Cramp O Matic,New Classic,New Matic,"
PN31450,"Black,","Cramp O Matic,New Matic,GSB,"
PN31451,,
PN31452,,
PN31454,,
PN31455,"New Matic,New Classic,",
PN31457,,
PN31458,,
PN31464,,
PN31466,,
PN31472,"Yellow,","48cm,53cm,58cm,66cm,"
PN31474,"Yellow,","48cm,53cm,"
PN397,,
PN5563,,
PN5565,,
PN5566,,
PN5567,,
PN5568,,
PN5569,,
PN5570,,
PN5571,,
PN60083,,
PN60592,,
PN65093,,
PN7875,,
PN7877,,
PN80121,,
PN80410,,
PN7954,"Black,White,Navy,Alert Red,Evening Blue,","Small,Medium,Large,XLarge,"
PN7955,"Black,White,Navy,","Small,Medium,Large,XLarge,"
PN7956,"Black,","Small,Medium,Large,XLarge,"
PN7957,"Black,","Small,Medium,Large,XLarge,"
PN7958,"Ice Blue,Black,Nordic Purple,","Small,XSmall,Medium,Large,XLarge,"
PN7959,"Black,","Small,Medium,Large,XLarge,"
PN7960,"Black,Magenta,","Small,Medium,Large,XLarge,"
PN8818,"Blue,Yellow,","65 Litres,"
PN8819,"Blue,Yellow,","115 Litres,"
PN9105,,
PN8089,"Truffle Brown,Black,","XSmall,Small,Medium,Large,XLarge,"
PN8091,"White Sand,Blue Graphite,","XSmall,Small,Medium,Large,XLarge,"
PN8095,"Black,Mocca,","XSmall,Small,Medium,Large,XLarge,"
PN8097,"Sahara,Mocca,Black,","XSmall,Small,Medium,Large,XLarge,"
PN8098,"Truffle Brown,Sahara,","XSmall,Small,Medium,Large,XLarge,"
PN8099,"Lamb,Dark Steel,","XSmall,Small,Medium,Large,XLarge,"
PN8100,"Electric Blue,Basil Green,Grey Heather,Graphite,","Small,Medium,Large,XLarge,XXLarge,"
PN8101,"Beetroot Red,Light Grey,Graphite,","XSmall,Small,Medium,Large,XLarge,"
PN8102,"Matisse Blue,Dark Red,Basil Green,Truffle Brown,Black,","Small,Medium,Large,XLarge,XXLarge,"
PN8103,"Beetroot Red,White Sand,Black,","XSmall,Small,Medium,Large,XLarge,"
PN8106,"Evergreen,","26 litres,"
PN8107,"Matisse Blue,Phantom Flow Checks,Black,","Fold,"
PN8108,"Black,Phantom Flow Checks,","Fold,"
PN8109,"Phantom,","Zip,"
PN8110,"Siltstone,","Size 5,Size 5.5,Size 6,Size 6.5,Size 7,Size 7.5,Size 8,"
PN8111,"Siltstone,","Size 8,Size 8.5,Size 9,Size 9.5,Size 10,Size 10.5,Size 11,Size 11.5,Size 12,"
PN8112,"Shadow Black,","Size 8,Size 8.5,Size 9,Size 9.5,Size 10,Size 10.5,Size 11,Size 11.5,Size 12,Size 12.5,Size 13,"
PN8114,"Coffee Brown,","Size 5.5,Size 6,Size 6.5,Size 7,Size 7.5,Size 8,"
PN8115,"Dark Stone,","Size 5,Size 5.5,Size 6,Size 6.5,Size 7,Size 7.5,Size 8,"
PN8116,"White Sand,Mocca,Black,","XSmall,Small,Medium,Large,XLarge,"
PN8405,"Night Blue,Olive Drab,","Small,Medium,Large,XLarge,"
PN8406,"Brilliant Blue,White Sand,","Small,Medium,Large,XLarge,"
